Date,Account,Description,Category,Tags,Amount
11/12/2024,Credit Card 2004,Wegmans,Groceries,,-30.88
11/12/2024,Credit Card 5529,Paypal *brenherrera,Transfers,,-103
11/12/2024,Credit Card 2004,Virginia Reston Va,Charitable Giving,,-268.5
11/12/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-33.25
11/12/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-129.75
11/12/2024,Credit Card 2637,Loudoun County Public Schools,Education,,-35
11/12/2024,Brokerage IRA,Apd - Air Prods & Chems Inc,Dividends Received (tax-advantaged),,60.18
11/12/2024,Checking 2637,Paypal Inst Xfer Xx1112 The Dungeon Person One,Transfers,,-39.98
11/12/2024,Checking 2637,Advs Ed Serv Web Studntloan Xx1108 6qg39ers7d1 Person One,Loans,,-2155.88
11/12/2024,Checking 2300,Chase,Transfers,,-976.79
11/12/2024,Checking 2300,Wells Fargo,Transfers,,735
11/12/2024,Checking 4690,Dominion Energy,Utilities,,-272.29
11/11/2024,Credit Card 2004,Tropical Smoothie Cafe,Restaurants,,-7.2
11/11/2024,Credit Card 2004,Bartaco,Restaurants,,-94.23
11/11/2024,Credit Card 2637,Bates Trucking Co Inc.,Automotive,,-52.75
11/11/2024,Credit Card 2637,Sp Newara Shop,Clothing/Shoes,,-39.99
11/11/2024,Credit Card 2004,Fairfield Inn,Travel,,-188.7
11/10/2024,Credit Card 2004,Sweetwater Tavern,Restaurants,,-107.57
11/10/2024,Credit Card 2637,Payment Thank You Phone,Transfers,,976.79
11/10/2024,Credit Card 2637,Doordash,Restaurants,,-9.99
11/10/2024,Credit Card 2637,E-zpass,Travel,,-35
11/9/2024,Credit Card 2637,Walmart,General Merchandise,,-231.11
11/9/2024,Credit Card 2637,Walgreens,Healthcare/Medical,,-15.86
11/9/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-15.14
11/9/2024,Credit Card 2637,The Ups Store,Postage & Shipping,,-64.09
11/9/2024,Credit Card 2637,Wendy's,Restaurants,,-33.89
11/9/2024,Credit Card 2637,Wendy's,Restaurants,,-17.05
11/9/2024,Credit Card 2004,Microsoft*microsoft Msbill.info,Online Services,,-20
11/9/2024,Credit Card 2004,Marriott International,Travel,,-209.05
11/9/2024,Credit Card 2004,Amazon Marketplace,General Merchandise,,-24.79
11/9/2024,Credit Card 2004,Store Frederick Md,Other Expenses,,-9.84
11/8/2024,Brokerage IRA,Scco - Southern Copper Corp,General Rebalance,,2354.54
11/8/2024,Credit Card 2637,Domino's Pizza,Restaurants,,-22
11/8/2024,Credit Card 2637,Royal Farms,Groceries,,-47.46
11/8/2024,Credit Card 4008,Spotify,Entertainment,,-11.99
11/8/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-17.31
11/8/2024,Brokerage IND,Nue - Nucor Corp,Dividends Received,,17.82
11/8/2024,Brokerage IND,Ma - Mastercard Incorporated-cl A,Dividends Received,,3.96
11/8/2024,Brokerage IRA,Nue - Nucor Corp,Dividends Received (tax-advantaged),,1.62
11/8/2024,Brokerage IRA,Vrsk - Verisk Analytics Inc,General Rebalance,,-5144.11
11/8/2024,Brokerage IRA,Twlo - Twilio Inc-cl A,General Rebalance,,6980.59
11/8/2024,Brokerage IRA,Ma - Mastercard Incorporated-cl A,Dividends Received (tax-advantaged),,17.16
11/8/2024,Checking 2300,State Of Maryland,Paychecks/Salary,,751.89
11/7/2024,Credit Card 2637,Safeway,Groceries,,-120.88
11/7/2024,Credit Card 2637,Leesburg Liberty,Clothing/Shoes,,-59.52
11/7/2024,Credit Card 2004,Wegmans,Groceries,,-45.83
11/7/2024,Credit Card 2004,E-zpass,Travel,,-140
11/7/2024,Credit Card 1009,Ocean Xx Xxx8708 Myrtle Beach Sc,Other Expenses,,-540.15
11/7/2024,Credit Card 2637,Ysi*mchenry Square,Restaurants,,-1135.76
11/7/2024,Checking 2637,Steam,Entertainment,,-19.99
11/7/2024,Checking 2637,Adp,Deposits,,2888.67
11/7/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0q689km2 On 11/07/24,Transfers,,-250
11/7/2024,Checking 2628,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0q689plq On 11/07/24,Transfers,,-250
11/7/2024,Checking 2628,Online Transfer From Person One Checking Xxxxxxxxx2300 Ref #ib0q689km2 On 11/07/24,Transfers,,250
11/7/2024,Credit Card 2004,Uber Eats,Restaurants,,-45.76
11/7/2024,Credit Card 2004,Uber,Travel,,-8.98
11/7/2024,Credit Card 2004,State Farm,Insurance,,-486.51
11/7/2024,Checking 4690,"General Dynamics Information Technology, Inc",Deposits,,4348.76
11/7/2024,Brokerage IRA,Schp - Schwab Strategic Tr-us Tips Etf,Dividends Received (tax-advantaged),,7.92
11/7/2024,Brokerage IRA,Usig - Ishares Tr-usd Inv Grde Etf,Dividends Received (tax-advantaged),,21.43
11/6/2024,Brokerage IRA,Scco - Southern Copper Corp,Securities Trades,,0
11/6/2024,Brokerage IRA,Scco - Southern Copper Corp,Securities Trades,,0
11/6/2024,Brokerage IRA,Scco - Southern Copper Corp,Securities Trades,,0
11/6/2024,Brokerage IRA,Scco - Southern Copper Corp,Securities Trades,,0
11/6/2024,Brokerage IRA,Scco - Southern Copper Corp,General Rebalance,,54.2
11/6/2024,Credit Card 4008,Tme*people Www.mags.com Ny,Entertainment,,-11.42
11/6/2024,Credit Card 2004,Walmart,General Merchandise,,-45.35
11/6/2024,Credit Card 2004,Uber,Travel,,-11.92
11/6/2024,Credit Card 2637,Amazon,General Merchandise,,-35.56
11/6/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-14.83
11/6/2024,Brokerage IRA,Ebnd - Spdr Ser Tr-bloomberg Emergi,Dividends Received (tax-advantaged),,27.23
11/6/2024,Brokerage IRA,Shyg - Ishares Tr-0-5yr Hi Yl Cp,Dividends Received (tax-advantaged),,22.95
11/5/2024,Credit Card 4008,Directv,Cable/Satellite,,-298.93
11/5/2024,Credit Card 2004,Clr*stretchzonex0372ashburn Va,Clothing/Shoes,,-109
11/5/2024,Credit Card 2637,Sp Brand501,Clothing/Shoes,,-83.99
11/5/2024,Credit Card 2637,Loudoun County Public Schools,Education,,-35
11/5/2024,Credit Card 2637,Amazon,General Merchandise,,-95.39
11/5/2024,Checking 2300,Verizon Wireless,Telephone,,-350.46
11/5/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0q5kn6k3 On 11/05/24,Transfers,,-200
11/5/2024,Checking 2628,Wells Fargo,Transfers,,-1
11/5/2024,Checking 2628,Zelle,Transfers,,-750
11/5/2024,Checking 2628,Uplift,Travel,,-325.92
11/5/2024,Checking 2628,Online Transfer From Person Two S Everyday Checking Xxxxxx8597 Ref #ib0q5knhsb On 11/05/24,Transfers,,100
11/5/2024,Checking 2628,Online Transfer From Person Two S Everyday Checking Xxxxxx8597 Ref #ib0q5kncl5 On 11/05/24,Transfers,,200
11/5/2024,Checking 2628,Online Transfer From Person Two S Everyday Checking Xxxxxx0819 Ref #ib0q5kn9gv On 11/05/24,Transfers,,250
11/5/2024,Checking 2628,Online Transfer From Person One Checking Xxxxxxxxx2300 Ref #ib0q5kn6k3 On 11/05/24,Transfers,,200
11/5/2024,Savings 9793,Wells Fargo,Savings,,1
11/5/2024,Brokerage IRA,Bsv - Vanguard Bd Index Fds-short Trm Bond,Dividends Received (tax-advantaged),,33.24
11/5/2024,Brokerage IRA,Bndx - Vanguard Charlotte Fds-total Int Bd Etf,Dividends Received (tax-advantaged),,8.43
11/5/2024,Brokerage IRA,Vglt - Vanguard Scottsdale Fds-long Term Treas,Dividends Received (tax-advantaged),,16.56
11/5/2024,Brokerage IRA,Vgit - Vanguard Scottsdale Fds-inter Term Treas,Dividends Received (tax-advantaged),,25.04
11/4/2024,Credit Card 2004,Walmart,General Merchandise,,-12.95
11/4/2024,Credit Card 2004,Tropical Smoothie Cafe,Restaurants,,-8.47
11/4/2024,Credit Card 2004,Walmart,Refunds & Reimbursements,,12.95
11/4/2024,Credit Card 2637,Safeway,Groceries,,-175.38
11/4/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-10
11/4/2024,Credit Card 2637,24 7 Sports,General Merchandise,,-9.95
11/4/2024,Credit Card 2637,Costco,General Merchandise,,-259.95
11/4/2024,Brokerage IRA,Usd - Us Dollars And Money Fund Sweeps,Investment Income,,1.63
11/4/2024,Brokerage IRA,Oc - Owens Corning New,Dividends Received (tax-advantaged),,27
11/4/2024,Checking 2637,Paypal Inst Xfer Xx1104 Reaper Person One,Transfers,,-50
11/4/2024,Checking 2637,Steam,Entertainment,,-59.99
11/4/2024,Checking 2637,Zelle,Transfers,,-500
11/4/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0q4lxnzz On 11/02/24,Transfers,,-370
11/4/2024,Checking 2300,Zelle,Rent,,500
11/4/2024,Checking 2628,Wells Fargo,Transfers,,330
11/4/2024,Checking 4690,American Express,Credit Card Payments,,-3383.18
11/4/2024,Checking 4690,Chase,Credit Card Payments,,-976.79
11/4/2024,Checking 4690,American Express,Credit Card Payments,,-291.42
11/3/2024,Credit Card 2004,Tropical Smoothie Cafe,Restaurants,,-18.15
11/3/2024,Credit Card 2637,Venmo,Transfers,,-25.75
11/3/2024,Credit Card 4008,Mobile Payment - Thank You,Credit Card Payments,,291.42
11/3/2024,Credit Card 2004,Mobile Payment - Thank You,Credit Card Payments,,3383.18
11/3/2024,Credit Card 2637,Payment Thank You-mobile,Credit Card Payments,,976.79
11/2/2024,Credit Card 2637,Wendy's,Restaurants,,-28.89
11/2/2024,Credit Card 4008,Netflix,Entertainment,,-30.98
11/2/2024,Credit Card 2004,Uber,Travel,,-13.68
11/2/2024,Credit Card 2004,Evgo Network,Automotive,,-19.58
11/2/2024,Credit Card 2004,Mellow Mushroom,Restaurants,,-43.81
11/2/2024,Credit Card 2004,Williamsburg Lodge,Travel,,-25
11/2/2024,Credit Card 2637,Amazon,General Merchandise,,-12.83
11/1/2024,Brokerage IRA,Pnw - Pinnacle West Cap Corp,General Rebalance,,1639.16
11/1/2024,Brokerage IRA,Amgn - Amgen Inc,General Rebalance,,3515.3
11/1/2024,Brokerage IRA,Es - Eversource Energy,General Rebalance,,1674.1
11/1/2024,Brokerage IRA,Mgm - Mgm Resorts International,General Rebalance,,1324.52
11/1/2024,Brokerage IRA,Eog - Eog Res Inc,General Rebalance,,-3152.39
11/1/2024,Brokerage IRA,Vz - Verizon Communications Inc,General Rebalance,,1580.77
11/1/2024,Brokerage IRA,Vz - Verizon Communications Inc,Dividends Received (tax-advantaged),,109.08
11/1/2024,Brokerage IRA,Kvue - Kenvue Inc,General Rebalance,,-5059.11
11/1/2024,Brokerage IRA,Pg - Procter And Gamble Co,General Rebalance,,2649.87
11/1/2024,Brokerage IRA,Nke - Nike Inc-cl B,General Rebalance,,1709.54
11/1/2024,Brokerage IRA,Lly - Eli Lilly & Co,General Rebalance,,-5764.6
11/1/2024,Credit Card 2004,Hotels.com,Travel,,-137.03
11/1/2024,Credit Card 2004,Spa-colonial Williamwilliamsburg Va,Clothing/Shoes,,-402.6
11/1/2024,Credit Card 2004,Kilwin's,Groceries,,-12.14
11/1/2024,Credit Card 2004,Tst* Amber Ox Publicwilliamsburg Va,Restaurants,,-97.68
11/1/2024,Credit Card 2637,Chens Garden,Restaurants,,-43
11/1/2024,Mortgage 6184,Principal Pmt,Loans,,200
11/1/2024,Mortgage 6184,Payment,Loans,,3989.75
11/1/2024,Checking 2300,Online Transfer To Watts P Everyday Checking Xxxxxx6453 Ref #ib0q43f6n2 On 11/01/24,Transfers,,-20
11/1/2024,Checking 2300,Zelle,Rent,,500
11/1/2024,Savings 9667,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0q46nss4 On 11/01/24,Transfers,,-75
11/1/2024,Credit Card 4008,Verizon,Telephone,,-291.42
11/1/2024,Credit Card 2004,Retros,Restaurants,,-5.99
11/1/2024,Credit Card 2004,Life Time Fitness,Personal Care,,-193.73
11/1/2024,Credit Card 2004,Marriott International,Travel,,-820.4
11/1/2024,Credit Card 2004,First Watch,Restaurants,,-49.94
11/1/2024,Credit Card 2004,Clicksend.com Recharsouth Perth Au,Healthcare/Medical,,-20
11/1/2024,Credit Card 2004,Food Lion,Groceries,,-82.28
11/1/2024,Credit Card 2637,Cash Advance Interest Cha,Service Charges/Fees,,-1.16
11/1/2024,Checking 4690,Wells Fargo Home Mortgage,Mortgages,,-4189.75
11/1/2024,Brokerage IRA,Cvs - Cvs Health Corp,Dividends Received (tax-advantaged),,45.89
11/1/2024,Brokerage IRA,T - At&t Inc,Dividends Received (tax-advantaged),,111.28
10/31/2024,Credit Card 2637,Chick-fil-a,Restaurants,,-53.2
10/31/2024,Credit Card 2637,Royal Farms,Groceries,,-46.51
10/31/2024,Credit Card 2637,Party City,Entertainment,,-32.81
10/31/2024,Credit Card 2004,Dulles International Airport,Travel,,-85
10/31/2024,Credit Card 2004,United Airlines,Travel,,-10
10/31/2024,Credit Card 2004,X65 - District Markesan Francisco Ca,Groceries,,-10.99
10/31/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-10
10/31/2024,Credit Card 2637,Varsity Yearbook,Restaurants,,-79.99
10/31/2024,Credit Card 2637,Giant Food,Groceries,,-7.05
10/31/2024,Credit Card 2637,Domino's Pizza,Restaurants,,-29.7
10/31/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-114.52
10/31/2024,Brokerage 8440,Reinvestment Invesco Qqq Tr Unit Ser 1,Securities Trades,,-11.51
10/31/2024,Brokerage 8440,Dividend Received Invesco Qqq Tr Unit Ser 1,Investment Income,,11.51
10/31/2024,Brokerage 8440,Reinvestment Cash,Securities Trades,,-0.94
10/31/2024,Brokerage 8440,Interest Earned Cash,Investment Income,,0.94
10/31/2024,HSA 4750,Bought Fdic Insured Deposit Fdicx9359 Cash,Securities Trades,,0.17
10/31/2024,HSA 4750,Taxable Interest Fdic Insured Deposit Fdicx9359,Investment Income,,0.17
10/31/2024,Brokerage IND,Usd - Us Dollars And Money Fund Sweeps,Investment Income,,2.68
10/31/2024,Brokerage IRA,Usd - Us Dollars And Money Fund Sweeps,Investment Income,,20.52
10/31/2024,Brokerage IRA,Ful - Fuller H B Co,Dividends Received (tax-advantaged),,8.46
10/31/2024,Brokerage IRA,Jpm - Jpmorgan Chase & Co.,Dividends Received (tax-advantaged),,97.5
10/31/2024,Checking 2637,American Express,Credit Card Payments,,-1181.87
10/31/2024,Checking 2637,Etsy,General Merchandise,,-86.31
10/31/2024,Checking 2637,Fidelity Investments,Transfers,,-500
10/31/2024,Savings 0613,Interest Payment,Interest,,0.01
10/31/2024,Savings 0862,Interest Payment,Interest,,0.01
10/31/2024,Savings 1052,Interest Payment,Interest,,0.01
10/31/2024,Credit Card 7031,Mathway,Education,,-19.99
10/31/2024,Checking 4690,Datastax Inc-osv Xxxxxxxxxx Xx1031 36osv03hfp Person One,Refunds & Reimbursements,,6353.36
10/31/2024,Checking 4690,Datastax Inc-osv Xxxxxxxxxx Xx1031 36osv03hhb Person One,Refunds & Reimbursements,,5200.86
10/30/2024,Credit Card 2637,Venmo *brendan Leonard,Transfers,,-103
10/30/2024,Credit Card 2637,Sheetz,Groceries,,-90.72
10/30/2024,Credit Card 2637,Chick-fil-a,Restaurants,,-57.46
10/30/2024,Checking 2637,Paypal Inst Xfer Xx1030 Gamingfunds Person One,Transfers,,-60
10/30/2024,Credit Card 2004,R Taco,Restaurants,,-3.81
10/30/2024,Credit Card 2004,Uber Eats,Restaurants,,-34.94
10/29/2024,Credit Card 2637,Wendy's,Restaurants,,-13.57
10/29/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-10
10/29/2024,Credit Card 2637,Chicken Rico,Restaurants,,-55.81
10/29/2024,Credit Card 2637,Giant Food,Groceries,,-176.5
10/29/2024,Credit Card 2004,Fairfield Inn,Travel,,-144.72
10/29/2024,Credit Card 2004,Williamsburg Lodge,Travel,,-522.1
10/29/2024,Credit Card 2004,Dunkin' Donuts,Restaurants,,-8.61
10/28/2024,Credit Card 2637,Venmo,Transfers,,-16.48
10/28/2024,Credit Card 2004,"Xx24 - Washington, Dreston Va",Other Expenses,,-139.54
10/28/2024,Credit Card 2004,Wegmans,Groceries,,-90.9
10/28/2024,Checking 2300,Recurring Transfer To Person Two S Way2save Savings Ref #op0q2kn7gj Xxxxxxxxx9667,Transfers,,-100
10/28/2024,Credit Card 2004,Apple,Electronics,,-0.99
10/28/2024,Savings 9667,Recurring Transfer From Person One Checking Ref #op0q2kn7gj Xxxxxxxxx2300,Transfers,,100
10/28/2024,Checking 4690,American Express,Credit Card Payments,,-1895.74
10/28/2024,Checking 4690,Chase,Credit Card Payments,,-1581.93
10/28/2024,Checking 4690,American Express,Credit Card Payments,,-78.98
10/28/2024,Checking 4690,Chase,Credit Card Payments,,-6.88
10/27/2024,Credit Card 2004,Store Frederick Md,Other Expenses,,-9.75
10/27/2024,Credit Card 2004,Store Leesburg Va,Gasoline/Fuel,,-5.02
10/27/2024,Credit Card 4008,Mobile Payment - Thank You,Refunds & Reimbursements,,78.98
10/27/2024,Credit Card 2004,Mobile Payment - Thank You,Credit Card Payments,,1895.74
10/27/2024,Credit Card 2004,Wine Districts,Groceries,,-26.49
10/27/2024,Credit Card 4300,Gold's Gym,Personal Care,,-49.99
10/27/2024,Credit Card 2637,Payment Thank You-mobile,Credit Card Payments,,1581.93
10/27/2024,Credit Card 2637,Sp Shopping,Clothing/Shoes,,-38.06
10/27/2024,Credit Card 5529,Payment Thank You-mobile,Credit Card Payments,,6.88
10/26/2024,Credit Card 2004,Moe's Southwest Grill,Restaurants,,-71.65
10/25/2024,Credit Card 2004,Tropical Smoothie Cafe,Restaurants,,-20.85
10/25/2024,Credit Card 2004,E-zpass,Travel,,-140
10/25/2024,Credit Card 2004,Direct Travel San Jose Ca,Travel,,-873.19
10/25/2024,Credit Card 2004,Store Manassas Va,Gasoline/Fuel,,-12.29
10/25/2024,Credit Card 2637,Domino's Pizza,Restaurants,,-29.09
10/25/2024,Credit Card 2637,Taco Bell,Restaurants,,-28.18
10/25/2024,Credit Card 2004,Google *youtubepremi G.co/helppay# Ca,Entertainment,,-13.99
10/25/2024,Brokerage IRA,Syy - Sysco Corp,Dividends Received (tax-advantaged),,38.25
10/25/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0pztvzxv On 10/25/24,Transfers,,-50
10/25/2024,Checking 2300,State Of Maryland,Paychecks/Salary,,751.9
10/25/2024,Checking 2628,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0pztw4zb On 10/25/24,Transfers,,-48
10/25/2024,Checking 2628,Online Transfer From Person One Checking Xxxxxxxxx2300 Ref #ib0pztvzxv On 10/25/24,Transfers,,50
10/24/2024,Credit Card 2637,Royal Farms,Groceries,,-19.51
10/24/2024,Credit Card 2637,Royal Farms,Groceries,,-46.51
10/24/2024,Credit Card 2637,Royal Farms,Groceries,,-49.48
10/24/2024,Credit Card 2004,Uber Eats,Restaurants,,-66.8
10/24/2024,Credit Card 2004,Shell,Gasoline/Fuel,,-4.09
10/24/2024,Credit Card 2004,Tropical Smoothie Cafe,Restaurants,,-13.81
10/24/2024,Credit Card 2004,Parking.com,Travel,,-10.99
10/24/2024,Credit Card 2637,Tiktok,Entertainment,,-29.26
10/24/2024,Credit Card 2637,Adobe,Online Services,,-19.99
10/24/2024,Credit Card 2637,Dough Busters Llc,Restaurants,,-15.74
10/24/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-32.83
10/24/2024,Checking 2637,Online Transfer From Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0pzfzfmq On 10/24/24,Transfers,,455
10/24/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0pzfz9wt On 10/24/24,Transfers,,-458
10/24/2024,Checking 2628,Wells Fargo,Transfers,,-1
10/24/2024,Checking 2628,Wells Fargo,Transfers,,-455
10/24/2024,Checking 2628,Uplift,Travel,,-325.92
10/24/2024,Checking 2628,Online Transfer From Person One Checking Xxxxxxxxx2300 Ref #ib0pzfz9wt On 10/24/24,Transfers,,458
10/24/2024,Savings 9793,Wells Fargo,Savings,,1
10/24/2024,Checking 4690,"General Dynamics Information Technology, Inc",Deposits,,4740.52
10/24/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-10
10/24/2024,Credit Card 2637,Venmo *alyssa Hill,Transfers,,-10.3
10/24/2024,Credit Card 2637,Venmo *alyssa Hill,Transfers,,-4.12
10/24/2024,Credit Card 2637,Venmo *alyssa Hill,Transfers,,-1.03
10/24/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-10
10/24/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-10
10/23/2024,Credit Card 2004,Westin Hotels & Resorts,Travel,,-74.84
10/23/2024,Credit Card 2004,Whole Foods Market,Groceries,,-38.88
10/23/2024,Credit Card 2637,Safeway,Groceries,,-123.16
10/23/2024,Credit Card 2004,Virginia Reston Va,Charitable Giving,,-105.5
10/23/2024,Credit Card 2637,Loudoun County Public Schools,Education,,-35
10/23/2024,Credit Card 2637,Audible,Hobbies,,-14.95
10/23/2024,Credit Card 2637,Tiktok,Entertainment,,-32.9
10/23/2024,Brokerage IRA,Cmcsa - Comcast Corp New-cl A,Dividends Received (tax-advantaged),,47.43
10/23/2024,Brokerage IRA,Wern - Werner Enterprises Inc,Dividends Received (tax-advantaged),,7.14
10/23/2024,Checking 2637,Steam,Entertainment,,-3.69
10/23/2024,Checking 2637,American Education Services,Loans,,-1700
10/22/2024,Credit Card 2004,Cvs Pharmacy,Healthcare/Medical,,-41.54
10/22/2024,Credit Card 2004,Wegmans,Groceries,,-85.41
10/22/2024,Credit Card 2004,"Xx21 - Washington, Dherndon Va",Other Expenses,,-150.97
10/22/2024,Credit Card 2637,Tock At*stone Tower Wi,Restaurants,,-225.5
10/22/2024,Checking 2637,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0pyx5bpz On 10/22/24,Transfers,,-450
10/22/2024,Checking 2637,Adp,Deposits,,2668.92
10/22/2024,Credit Card 4008,Cooper's Hawk Winery & Restaurants,Restaurants,,-64.99
10/22/2024,Checking 2300,Zelle,Home Maintenance,,-105
10/22/2024,Checking 2300,Online Transfer From Person Two S Everyday Checking Xxxxxx0819 Ref #ib0pyx5mlr On 10/22/24,Transfers,,110
10/22/2024,Checking 2628,Online Transfer From Person Two S Everyday Checking Xxxxxx0819 Ref #ib0pyx5d8k On 10/22/24,Transfers,,326
10/22/2024,Credit Card 2004,Microsoft,Online Services,,-19.99
10/22/2024,Credit Card 2004,Virginia Reston Va,Charitable Giving,,-35
10/22/2024,Credit Card 2004,Courtyard,Travel,,-227.71
10/21/2024,Credit Card 5529,Tropical Smoothie Cafe,Restaurants,,-6.88
10/21/2024,Credit Card 4008,Microsoft,Online Services,,-144.6
10/21/2024,Credit Card 4008,Linkedin,Dues & Subscriptions,,-29.99
10/21/2024,Credit Card 4008,Adobe,Online Services,,-19.99
10/21/2024,Credit Card 2004,Whole Foods Market,Groceries,,-8.77
10/21/2024,Credit Card 2004,Life Time Fitness,Personal Care,,-47.5
10/21/2024,Credit Card 2637,Costco,General Merchandise,,-341.82
10/21/2024,Credit Card 2637,Abc*the Fitness Equation,Personal Care,,-75
10/21/2024,Credit Card 2637,Paddle.net* Enhancv,Other Expenses,,-79.94
10/21/2024,Checking 2628,Online Transfer To Watts P Everyday Checking Xxxxxx6453 Ref #ib0py9ckyv On 10/20/24,Transfers,,-8
10/20/2024,Credit Card 2004,Chef On Wheels Llc 0reston Va,Restaurants,,-76.04
10/20/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-10
10/19/2024,Credit Card 2637,Wendy's,Restaurants,,-26.16
10/19/2024,Credit Card 2637,Sheetz,Groceries,,-49.16
10/19/2024,Credit Card 2004,Fairfield Inn,Travel,,-183.57
10/19/2024,Credit Card 2637,Stone Tower Winery,Groceries,,-12.34
10/19/2024,Credit Card 2637,Venmo,Transfers,,-25.75
10/19/2024,Credit Card 7031,Xbox,Entertainment,,-74.99
10/18/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-10
10/18/2024,Credit Card 2637,Domino's Pizza,Restaurants,,-28.87
10/18/2024,Credit Card 2637,Safeway,Groceries,,-109.45
10/18/2024,Checking 4690,Chase,Credit Card Payments,,-560.66
10/18/2024,Checking 4690,Chase,Credit Card Payments,,-34.25
10/18/2024,Credit Card 2004,Courtyard,Travel,,-175.55
10/17/2024,Credit Card 2637,Venmo,Transfers,,-10.3
10/17/2024,Credit Card 2637,Royal Farms,Groceries,,-50.64
10/17/2024,Checking 2637,Helheim Scans Iat Paypal Xxxxxx Xxxxxxxxx8828 Person One,Transfers,,-22.36
10/17/2024,Checking 2300,Online Transfer From Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0px4rkx5 On 10/17/24,Transfers,,5
10/17/2024,Checking 2628,Online Transfer To Person One Checking Xxxxxxxxx2300 Ref #ib0px4rkx5 On 10/17/24,Transfers,,-5
10/17/2024,Checking 4690,American Express,Credit Card Payments,,-478.62
10/17/2024,Credit Card 2004,Springhill Suites,Travel,,-228.15
10/17/2024,Credit Card 2004,Uber Eats,Restaurants,,-72.56
10/17/2024,Credit Card 2004,Mobile Payment - Thank You,Credit Card Payments,,478.62
10/17/2024,Credit Card 2004,Krispy Kreme,Restaurants,,-6.99
10/17/2024,Credit Card 2004,Royal Farms,Groceries,,-10.1
10/17/2024,Credit Card 2004,E-zpass,Travel,,-140
10/17/2024,Credit Card 2637,Spot Llc,Online Services,,-64.99
10/17/2024,Credit Card 2637,Payment Thank You-mobile,Credit Card Payments,,560.66
10/17/2024,Credit Card 5529,Payment Thank You-mobile,Credit Card Payments,,34.25
10/16/2024,Credit Card 4008,Electronic Payment Received-thank,Credit Card Payments,,200
10/16/2024,Credit Card 2004,Sirius Xm,Entertainment,,-48.4
10/16/2024,Credit Card 2004,Vector Security,Online Services,,-25
10/16/2024,Credit Card 2004,Flagship Car Wash,Automotive,,-31.99
10/16/2024,Credit Card 2637,Loudoun County Public Schools,Education,,-35
10/16/2024,Credit Card 7031,Electronic Payment,Credit Card Payments,,200
10/16/2024,Checking 2637,Wells Fargo,Credit Card Payments,,-710.96
10/16/2024,Checking 2300,Overdraft Protection Xfer From Dep Act,Transfers,,35.35
10/16/2024,Checking 2300,Capital One,Credit Card Payments,,-200
10/16/2024,Checking 2300,American Express,Credit Card Payments,,-200
10/16/2024,Checking 2300,Online Transfer From Person Two S Everyday Checking Xxxxxx8597 Ref #ib0pwwjqr8 On 10/16/24,Transfers,,285
10/16/2024,Checking 2300,Online Transfer From Person Two S Way2save Savings Xxxxxxxxx9793 Ref #ib0pwwjm4c On 10/16/24,Savings,,22
10/16/2024,Checking 2628,Zelle,Transfers,,-150
10/16/2024,Checking 2628,Online Transfer From Person Two S Way2save Savings Xxxxxxxxx9667 Ref #ib0pws2475 On 10/16/24,Savings,,30
10/16/2024,Checking 2628,Online Transfer From Person Two S Everyday Checking Xxxxxx8597 Ref #ib0pwrzyyr On 10/16/24,Transfers,,20
10/16/2024,Checking 2628,Online Transfer From Person Two S Way2save Savings Xxxxxxxxx9667 Ref #ib0pwrzwn3 On 10/16/24,Transfers,,85
10/16/2024,Savings 9667,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0pws2475 On 10/16/24,Transfers,,-30
